text,label
lost password,44
does your system support multiple currency.,36
where can i find out how to transfer money into my account.,65
i checked the app and saw an extra cash withdrawal that i didn ' t authorize,20
when i got cash i believe that the exchange rate was wrong,76
can i top up using an international card,57
is there a way for me to check my balance?,70
i just got $ 20 when i tried to get $ 100,75
why does the atm continually decline my card? i ' ve tried multiple times on different machines with the same results. i thought i had enough,26
i ' m on vacation in europe but i desperately need to change my pin. can i do this from abroad?,21
can i use my social security card as a form of identity?,69
are there any restrictions to where i can use my card?,10
i ' m interested in learning more about product refunds.,52
i need my pin unlocked.,49
tell me why there is a charge on my cash withdrawl.,19
my card won ' t physically work.,14
my address has updated and i need to change it.,30
why is my card payment pending?,45
where do we mail the card?,43
can i pay with my card anywhere?,10
can you tell me if my top - up has been cancelled?,61
there is a fraudulent charge on my statement.,16
how long does it take for a transfer to arrive,66
i need several cards per day. and i need to be able to throw away all of the cards i make.,29
please help me to know the status of my card payment as its pending since a while.,45
how long will it take for a bank transfer to show up on my account? it ' s been a couple hours but i havnt,5
why do you require all my identity details?,74
what are the atms that will accept this card?,3
places i can use the card,10
i couldn ' t make a transfer,35
i think my card has been compromised in some way.,22
how many transactions can i do with my disposable card?,29
how can i fix this? there is a double charge on my account.,63
can i have a friend send money directly to me?,50
i couldnt transfer money from my account.,35
how long does a transfer transaction take?,67
what is the maximum for top - ups?,60
am i allowed to carry an additional card?,39
why was my transfer request decline?,27
i lost my phone and would like to freeze my accounts.,42
an atm fee was attached to my recent withdrawal.,19
my card was denied at an atm earlier today but the transaction is pending. please cancel it as i did not receive my money.,46
where do i go to add a new card?,13
would i be able to get a second card?,39
"there is an unexplained $ 1 charge on my statement, can you please explain this to me?",34
which atms accept this card?,3
what is the matter?,28
the top - up is pending.,47
why would my payment for my card show as pending?,45
the app reverted my action when i topped up.,61
i have a direct debit i didn ' t make,28
is there a way i can get my card expedited?,11
"hi, i ' m trying to by some crypto and the app isn ' t allowing it. i really want to exchange this, what",7
where can i top my card for free?,57
"i need to order a new card, mine is about to expire and i need to know how much it will cost and how long until",9
"my cash withdrawal was declined, why?",26
"out of the blue, my card stopped working.",14
"i got double charged from something, what can i do?",63
i received a fee i should not have.,15
what is not accepted in order for me to top up my account?,58
the exchange rate that was applied for an international purchase was wrong.,17
"hello, i ' d like to inform you of an issue i ' m currently experiencing. the goods i have ordered from your website have still",52
"i was overcharged at an atm while on vacation. i needed cash so i had to use it, but your charges are outrego",76
there is not a refund in my statement.,51
i was trying to purchase some crypto and the app won ' t allow me to do it. what ' s the deal with this?,7
"i got a card, how do i get it in the app?",13
when will it be delivered to the us?,12
can i only top - up digitally? or could i use cash?,58
can i use this card at any atm?,3
"i want to activate my card, how do i do it?",0
i made a purchase and it says it ' s pending. what does that mean?,45
how do you figure out the exchange rate? can you explain why i got less money than expected?,76
how do i speed up identity verification?,74
"oh my goodness, my card has been declined twice at atm! i tried two different atm, but each one declined my card! can you",26
i do not recognize a direct debit payment that i see on my app,28
can you tell me if my pop - up went through?,59
"my identity isn ' t being accepted, what should i do?",68
do you support all cards and currencies?,54
"i desperately need to change my pin, but i ' m overseas on vacation right now. how can i do this?",21
i think my top up was reversed.,61
a transaction to a friend still hasn ' t shown up.,66
"i attempted to complete a topup, and i thought all was well, but now the money is gone again. has there been a g",61
how about disposable virtual cards?,37
anytime i ' ve made an atm withdrawal before it has always been free. i now say that i have been charged for my most recent atm,19
"please help me, there is a transaction in the incorrect account.",8
my top - up is still pending,47
how many miles away is the atm?,3
how do i report my card as lost or stolen?,41
i did a topup successfully but its not showing in balance. i think there is some problem in system.,61
why hasn ' t arrived yet a transaction i did to my friend?,66
what reasons could cause my top up to be reverted,61
"i didn ' t want to make a transaction, i want to revert it",8
what fees are charged when i top up,57
i need to know what your exchange rates are.,32
please help me. i am still waiting on a refund.,51
i need to cancel my card. there are a few charges from a couple days ago that i didn ' t make. can i get credit,16
i ordered my card a couple weeks ago and haven ' t received it yet. when can i expect it?,12
can the card was sen to me be tracked?,11
can i give a second card to my daughter?,39
"i ' m pretty frustrated about a pound charge that keeps showing up in my account statement. it ' s listed in the app as "" pending",34
my card was frozen due to putting in the wrong pin too much. how many tries do i have,26
can i have a visa card?,73
why was there a fee for my transfer?,64
the disposable cards - what are they for?,37
why do i have two charges it should only be one charge?,63
how old do you need to be to use the banks services?,1
"it says "" pending payment? "" why is it saying this?",45
hello i changed my mind and want a refund on one of things i bought recently. can you please cancel the transaction and get me my,52
what is the process for getting an actual physical card?,43
after trying to update my account balance yesterday by cheque it doesn ' t seem to working. shouldn ' t the process be quicker? i,6
what time will a transfer from the us take?,67
why would i be charged more than once for the same transaction?,63
is it possible to give a second card from my account to my daughter?,39
what do i do with my card pin?,38
"i changed the currency, but why is it costing more?",17
how long does it take for something to be delivered to the u. s?,12
there is a pending payment on my account that is very strange. i don ' t remember making this and it won ' t go away.,34
i would like to know how exchange rates are calculated when transferring funds.,32
tell me why my card payment was declined.,25
i haven ' t received my card.,11
my money disappeared! please help??,61
i was wondering if international transfers take longer than normal because i made a transfer from france a couple of days ago and nothing has happened yet?,5
what should i do if i forgot my passcode?,44
where do i go to edit my personal details on my account?,30
why am i being charged to transfer funds?,64
why isn ' t my top up working using my saved american express in applepay?,2
is there an additional charge to exchange currencies?,31
what is the handling fee for transfer?,56
"i tried to get money out of the notting hill atm earlier, but wasn ' t able to. is my card working okay? it",26
i got a message that my transfer was declined.,27
please delete my account now.,55
"my card has been declined by two separate atm, and i ' m worried something is wrong with my account. would you please see if my",26
how will i receive my pin?,38
"hello, i have a pending transaction in my account due to an atm machine that wasn ' t working. in any case if the transaction goes",46
how do i add a card on to the app?,13
"i transferred money yesterday, but it still isn ' t available?",48
my account seems a bit off and getting weird charges.,63
"i received my american express in apple pay, is there a reason why top up is not working?",2
how can i get a disposable virtual card?,37
explain why i can ' t do a transfer to an account.,7
i made a deposit this morning but it is still pending?,6
what is the word?,28
top - up is not working,59
can i add money to my account with cash?,58
